[0.000000] (-) TimerEvent: {}
[0.004554] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.761000] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/build.sh\n'}
[0.763692] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/board.repos\n'}
[0.764541] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/reset.sh\n'}
[0.766241] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/configure.sh\n'}
[0.768110] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/client-colcon.meta\n'}
[0.768927] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/create.sh\n'}
[0.770843] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/client_uros_packages.repos\n'}
[0.772194] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/dev_uros_packages.repos\n'}
[0.775155] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg\n'}
[0.776561] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/flash.sh\n'}
[0.780116] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/package.xml\n'}
[0.782737] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/build.sh\n'}
[0.784334] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/board.repos\n'}
[0.788039] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/reset.sh\n'}
[0.799504] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/configure.sh\n'}
[0.803865] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client-colcon.meta\n'}
[0.805418] (-) TimerEvent: {}
[0.809137] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/create.sh\n'}
[0.811520] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client_uros_packages.repos\n'}
[0.815840] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze\n'}
[0.817027] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/flash.sh\n'}
[0.818778] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/package.xml\n'}
[0.822199] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/build.sh\n'}
[0.822955] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/board.repos\n'}
[0.824271] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/reset.sh\n'}
[0.828187] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/configure.sh\n'}
[0.829171] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client-colcon.meta\n'}
[0.831240] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/create.sh\n'}
[0.832555] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client_uros_packages.repos\n'}
[0.833778] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32\n'}
[0.835454] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/flash.sh\n'}
[0.841826] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/package.xml\n'}
[0.847459] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/build.sh\n'}
[0.848468] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/board.repos\n'}
[0.849354] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/configure.sh\n'}
[0.850060] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/README.md\n'}
[0.850540] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/client-colcon.meta\n'}
[0.851009] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/create.sh\n'}
[0.851490] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/esp32/client_uros_packages.repos\n'}
[0.851968] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/list_apps.sh\n'}
[0.852493] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra\n'}
[0.852962] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/dev_ros2_packages.txt\n'}
[0.853427] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos\n'}
[0.853944] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5\n'}
[0.854417] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/flash.sh\n'}
[0.854898] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/build.sh\n'}
[0.855364] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/board.repos\n'}
[0.855826] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/configure.sh\n'}
[0.856291] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client-colcon.meta\n'}
[0.856857] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/create.sh\n'}
[0.857418] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client_uros_packages.repos\n'}
[0.857991] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/renesas_ra/list_apps.sh\n'}
[0.858472] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx\n'}
[0.859033] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/dev_ros2_packages.txt\n'}
[0.859607] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/dev_uros_packages.repos\n'}
[0.860162] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic\n'}
[0.860717] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/uros_packages.repos\n'}
[0.861272] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/flash.sh\n'}
[0.861934] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/package.xml\n'}
[0.862393] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/supported_platforms\n'}
[0.862925] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/build.sh\n'}
[0.863442] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/reset.sh\n'}
[0.863954] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/configure.sh\n'}
[0.864431] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/client-colcon.meta\n'}
[0.864853] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/create.sh\n'}
[0.865275] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/nuttx/generic/client_uros_packages.repos\n'}
[0.865738] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian\n'}
[0.866179] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/dev_ros2_packages.txt\n'}
[0.866603] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/dev_uros_packages.repos\n'}
[0.867028] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic\n'}
[0.867449] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic/flash.sh\n'}
[0.867869] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic/supported_platforms\n'}
[0.868287] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic/build.sh\n'}
[0.868707] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic/configure.sh\n'}
[0.869127] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic/client-colcon.meta\n'}
[0.869545] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic/create.sh\n'}
[0.870029] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/raspbian/generic/client_uros_packages.repos\n'}
[0.870478] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/client_uros_packages.repos\n'}
[0.870900] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib\n'}
[0.871321] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/dev_ros2_packages.txt\n'}
[0.871742] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/dev_uros_packages.repos\n'}
[0.872227] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic\n'}
[0.872653] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/flash.sh\n'}
[0.873095] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/package.xml\n'}
[0.873538] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/demo_toolchain.cmake\n'}
[0.874058] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/build.sh\n'}
[0.874490] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/client-colcon.meta\n'}
[0.874914] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/create.sh\n'}
[0.875333] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/client_uros_packages.repos\n'}
[0.875856] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_ws.sh\n'}
[0.876371] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_agent_ws.sh\n'}
[0.876848] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_firmware_ws.sh\n'}
[0.877268] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/configure_firmware.sh\n'}
[0.877721] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/flash_firmware.sh\n'}
[0.878157] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/reset_firmware.sh\n'}
[0.878664] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/build_firmware.sh\n'}
[0.879116] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/build_agent.sh\n'}
[0.879565] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/yaml_filter.py\n'}
[0.879989] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/clean_env.sh\n'}
[0.880432] (micro_ros_setup) CommandEnded: {'returncode': 0}
[0.905803] (-) TimerEvent: {}
[1.008224] (-) TimerEvent: {}
[1.046361] (micro_ros_setup) JobEnded: {'identifier': 'micro_ros_setup', 'rc': 0}
[1.051385] (-) EventReactorShutdown: {}
